,Material,Extent,Measure,Site,2017-2018,2018-2019
0,Cigarettes,Australia,Count,All,16.0,16.0
1,Cigarettes,Australia,Count,Beaches,14.0,11.0
2,Cigarettes,Australia,Count,Car parks,24.0,23.0
3,Cigarettes,Australia,Count,Highways,9.0,10.0
4,Cigarettes,Australia,Count,Industrial sites,21.0,21.0
5,Cigarettes,Australia,Count,Recreational parks,5.0,5.0
6,Cigarettes,Australia,Count,Residential sites,9.0,9.0
7,Cigarettes,Australia,Count,Retail strips,53.0,49.0
8,Cigarettes,Australia,Count,Shopping centres,38.0,40.0
9,Cigarettes,Australia,Volume,All,0.002,0.002
10,Cigarettes,Queensland,Count,All,19.0,16.0
11,Cigarettes,Queensland,Count,Beaches,14.0,11.0
12,Cigarettes,Queensland,Count,Car parks,29.0,25.0
13,Cigarettes,Queensland,Count,Highways,15.0,13.0
14,Cigarettes,Queensland,Count,Industrial sites,15.0,11.0
15,Cigarettes,Queensland,Count,Recreational parks,8.0,9.0
16,Cigarettes,Queensland,Count,Residential sites,8.0,7.0
17,Cigarettes,Queensland,Count,Retail strips,63.0,41.0
18,Cigarettes,Queensland,Count,Shopping centres,46.0,55.0
19,Cigarettes,Queensland,Volume,All,0.002,0.002
20,Glass,Australia,Count,All,0.8,0.8
21,Glass,Australia,Count,Beaches,0.6,0.9
22,Glass,Australia,Count,Car parks,0.7,0.8
23,Glass,Australia,Count,Highways,1.0,1.1
24,Glass,Australia,Count,Industrial sites,1.2,1.2
25,Glass,Australia,Count,Recreational parks,0.2,0.3
26,Glass,Australia,Count,Residential sites,0.4,0.4
27,Glass,Australia,Count,Retail strips,0.8,0.6
28,Glass,Australia,Count,Shopping centres,0.2,0.4
29,Glass,Australia,Volume,All,0.26,0.23
30,Glass,Queensland,Count,All,0.6,0.6
31,Glass,Queensland,Count,Beaches,1.3,1.1
32,Glass,Queensland,Count,Car parks,0.5,0.3
33,Glass,Queensland,Count,Highways,0.7,0.7
34,Glass,Queensland,Count,Industrial sites,0.6,0.5
35,Glass,Queensland,Count,Recreational parks,0.7,1.0
36,Glass,Queensland,Count,Residential sites,0.5,0.3
37,Glass,Queensland,Count,Retail strips,1.0,0.9
38,Glass,Queensland,Count,Shopping centres,0.1,0.4
39,Glass,Queensland,Volume,All,0.18,0.14
40,Metal,Australia,Count,All,3.2,3.3
41,Metal,Australia,Count,Beaches,3.1,2.7
42,Metal,Australia,Count,Car parks,2.7,2.9
43,Metal,Australia,Count,Highways,3.7,3.8
44,Metal,Australia,Count,Industrial sites,5.0,5.4
45,Metal,Australia,Count,Recreational parks,1.5,1.6
46,Metal,Australia,Count,Residential sites,2.2,2.3
47,Metal,Australia,Count,Retail strips,4.3,4.8
48,Metal,Australia,Count,Shopping centres,2.7,3.1
49,Metal,Australia,Volume,All,0.62,0.53
50,Metal,Queensland,Count,All,5.0,5.0
51,Metal,Queensland,Count,Beaches,6.0,6.0
52,Metal,Queensland,Count,Car parks,5.0,4.0
53,Metal,Queensland,Count,Highways,7.0,6.0
54,Metal,Queensland,Count,Industrial sites,5.0,4.0
55,Metal,Queensland,Count,Recreational parks,5.0,5.0
56,Metal,Queensland,Count,Residential sites,3.0,2.0
57,Metal,Queensland,Count,Retail strips,6.0,5.0
58,Metal,Queensland,Count,Shopping centres,5.0,7.0
