,Audit Round,Collection Number,Council,Location,Latitude,Longitude,Date,Time,Traffic_Count_Total,Butts bits/packs/matches/lighters Glass,Butts bits/packs/matches/lighters Metal,Butts bits/packs/matches/lighters Paper,Butts bits/packs/matches/lighters Plastic,Butts bits/packs/matches/lighters Total,Beverage - Alcohol Glass,Beverage - Alcohol Metal,Beverage - Alcohol Paper,Beverage - Alcohol Plastic,Beverage - Alcohol Total,Beverage - Milk Glass,Beverage - Milk Metal,Beverage - Milk Paper,Beverage - Milk Plastic,Beverage - Milk Total,Beverage - Non Alcohol Glass,Beverage - Non Alcohol Metal,Beverage - Non Alcohol Paper,Beverage - Non Alcohol Plastic,Beverage - Non Alcohol Total,Beverage bits Glass,Beverage bits Metal,Beverage bits Paper,Beverage bits Plastic,Beverage bits Total,Lolly/ice cream/snack/wraps Glass,Lolly/ice cream/snack/wraps Metal,Lolly/ice cream/snack/wraps Paper,Lolly/ice cream/snack/wraps Plastic,Food wrap/Film Glass,Food wrap/Film Metal,Food wrap/Film Paper,Food wrap/Film Plastic,Food wrap/Film Total,Take away pack/plates/clams/bags Glass,Take away pack/plates/clams/bags Metal,Take away pack/plates/clams/bags Paper,Take away pack/plates/clams/bags Plastic,Take away pack/plates/clams/bags Total,Utensils/straws/sticks/bread ties/bits Glass,Utensils/straws/sticks/bread ties/bits Metal,Utensils/straws/sticks/bread ties/bits Paper,Utensils/straws/sticks/bread ties/bits Plastic,Utensils/straws/sticks/bread ties/bits Total,Receipts/tickets/paper pieces Glass,Receipts/tickets/paper pieces Metal,Receipts/tickets/paper pieces Plastic,Receipts/tickets/paper pieces Total,Personal/toys/sports gear/hair clips Glass,Personal/toys/sports gear/hair clips Metal,Personal/toys/sports gear/hair clips Paper,Personal/toys/sports gear/hair clips Plastic,Personal/toys/sports gear/hair clips Total,Other Glass,Other Metal,Other Paper,Other Plastic,Other Total,Total Glass,Total Metal,Total Paper,Total Plastic,Total Waste In Council
0,Round 1,Site 1,Balonne SC,Barwon Hwy,-28.34648,148.83425,2014-10-14,,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,13,13,2,0,10,25
1,Round 1,Site 2,Balonne SC,Barwon Hwy,-28.353551,148.953699,2014-10-14,10.05 am,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,10,14
2,Round 1,Site 3,Goondiwindi RC,Barwon Hwy,-28.419,149.6741,2014-10-08,8.00 am,2,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,2,0,0,4,6,9,0,1,14,24
3,Round 1,Site 4,Goondiwindi RC,Barwon Hwy,-28.44234,149.72693,2014-10-08,7.30 am,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,2,0,10,13
4,Round 1,Site 5,Goondiwindi RC,Barwon Hwy,-28.47378,149.51393,2014-10-07,3.30 pm,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,11
5,Round 1,Site 6,Balonne SC,Barwon Hwy,-28.356073,148.884019,2014-10-14,9.41 am,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6
6,Round 1,Site 7,Goondiwindi RC,Barwon Hwy,-28.4366,149.77331,2014-10-08,7.00 am,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
7,Round 1,Site 8,Goondiwindi RC,Barwon Hwy,-28.42587,149.94518,2014-10-08,6.00 am,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
8,Round 1,Site 9,Goondiwindi RC,Barwon Hwy,-28.50042,150.12953,2014-10-08,10.30 am,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,4,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,12,1,0,4,17
9,Round 1,Site 10,Goondiwindi RC,Barwon Hwy,-28.46433,150.03195,2014-10-08,10.00 am,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3
